"品番","納入先","合格色","不合格色","工場名","発行番号","生地合否判定","合否判定","受付日","製品合否判定","部署","共有メモ","共有チェック"
"XM632ER","㈱しまむら","2","","","DL-26-004867-1","合格","合格","2026/02/11","","","","0"
"Y5630RR","㈱しまむら","","","","DL-26-004870","","合格","2026/02/11","合格(追試:合格)〈コメント有〉","","","0"
"XM633ER","㈱しまむら","2","","","DL-26-004875-1R","合格","合格","2026/02/11","","","","0"
"C5620HR","㈱しまむら","3","","","DL-26-004908","合格","合格","2026/02/11","合格〈コメント有〉","","","0"
"76631SR","㈱しまむら","1","","","DL-26-004938","合格","合格","2026/02/12","","","","0"
"C4633MA","㈱しまむら","1","","","DL-26-003602-1","合格","合格","2026/02/11","","","","0"
"C4634MA","㈱しまむら","1","","","DL-26-003604-1","合格","合格","2026/02/11","","","","0"
"C4632MA","㈱しまむら","1","","","DL-26-003606-1","合格","合格","2026/02/11","","","","0"
"CM1504X/CL-230550","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-004422","合格","合格","2026/02/09","合格(追試:合格)〈コメント有〉","","","0"
"MB4004V/XM1030/ツイル(迷彩)","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-004573-1","合格","合格","2026/02/09","合格〈コメント有〉","","","0"
"MB4004V/XM1030/ツイル(迷彩)","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-004573-2","合格","合格","2026/02/09","合格〈コメント有〉","","","0"
"MB3011V/XM1030/ツイル(迷彩)","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-004585-1","合格","合格","2026/02/09","合格〈コメント有〉","","","0"
"MB3011V/XM1030/ツイル(迷彩)","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-004585-2","合格","合格","2026/02/09","合格〈コメント有〉","","","0"
"43631HA","㈱しまむら","1","","","DL-26-004632","合格","合格","2026/02/09","合格(追試:合格)","","","0"
"GT630UR/1010デニム","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-004748","合格","合格","2026/02/10","合格","","","0"
"76630SR","㈱しまむら","1","","","DL-26-004815","合格","合格","2026/02/11","","","","0"
"76632SR","㈱しまむら","1","","","DL-26-004816","合格","合格","2026/02/11","","","","0"
"76631SR","㈱しまむら","1","","","DL-26-004817","合格","合格","2026/02/11","","","","0"
"Y5635WR","㈱しまむら","6","","","DL-26-004835-1","合格","合格","2026/02/11","","","","0"
"43632HA","㈱しまむら","2","","","DL-26-004839","合格","合格","2026/02/11","合格(追試:合格)","","","0"
"X5631WR","㈱しまむら","1","","","DL-26-003553","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"F4632MZ/1010","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-003609","合格","合格","2026/01/30","合格〈コメント有〉","","","0"
"F4630QZ/260T","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-003786-1","合格","合格","2026/02/02","合格","","","0"
"F4630QZ/260T","㈱しまむら","6","","KDW 大連万林進出口有限公司","DL-26-003786-2","合格","合格","2026/02/02","合格","","","0"
"X6622RR","㈱しまむら","","","","DL-26-004491","","合格","2026/02/09","合格(追試:合格)","","","0"
"X4622RR/X4624RR/X5630RR/X5632RR/X5633RR/X6621RR/X6622RR/X5631WR","㈱しまむら","4","","","DL-26-004615","合格","合格","2026/02/09","","","","0"
"43630HA","㈱しまむら","1","","","DL-26-004618","合格","合格","2026/02/09","合格(追試:合格)〈コメント有〉","","","0"
"X5633ER/C5530VA/C5531VA","㈱しまむら","4","","","DL-26-004621","合格","合格","2026/02/09","","","","0"
"X563AER KING/X563BER KING/X5635ER KING/X5636ER/X5637ER/X5638ER/X5639ER/X5635ER/X5636ER KING/X5637ER KING/X5638ER KING/X4630ER/X5630ER/X5631ER/X5632ER/X5633ER","㈱しまむら","4","","","DL-26-004624","合格","合格","2026/02/09","","","","0"
"40631HA","㈱しまむら","1","","","DL-26-004626","合格","合格","2026/02/09","合格(追試:合格)〈コメント有〉","","","0"
"XR630ER/XR632ER","㈱しまむら","2","","","DL-26-004629","合格","合格","2026/02/09","","","","0"
"4063CER","㈱しまむら","1","","","DL-26-004678","合格","合格","2026/02/10","","","","0"
"43638HA","㈱しまむら","1","","","DL-26-004387","合格","合格","2026/02/09","","","","0"
"40631GA","㈱しまむら","1","","","DL-26-004388","合格","合格","2026/02/09","","","","0"
"40636HA","㈱しまむら","1","","","DL-26-004389","合格","合格","2026/02/09","","","","0"
"40639HA","㈱しまむら","1","","","DL-26-004390","合格","合格","2026/02/09","","","","0"
"66632YR","㈱しまむら","2","","","DL-26-004424","合格","合格","2026/02/09","","","","0"
"76636VR","㈱しまむら","2","","","DL-26-004459","合格","合格","2026/02/09","","","","0"
"41620PR","㈱しまむら","","","","DL-26-004501","","合格","2026/02/09","合格(追試:合格)","","","0"
"Y5635RR","㈱しまむら","3","","","DL-26-004095-1","合格","合格","2026/02/04","","","","0"
"A1622ZR","㈱しまむら","1","","","DL-26-004202","合格","合格","2026/02/05","合格(追試:合格)","","","0"
"A5625RR","㈱しまむら","2","","","DL-26-004204","合格","合格","2026/02/05","合格(追試:合格)","","","0"
"A5624PR","㈱しまむら","1","","","DL-26-004210","合格","合格","2026/02/05","合格(追試:合格)","","","0"
"A5622MR","㈱しまむら","3","","","DL-26-004212","合格","合格","2026/02/05","合格(追試:合格)","","","0"
"A5620WR","㈱しまむら","1","","","DL-26-004236","合格","合格","2026/02/05","合格(追試:合格)","","","0"
"RT633QZ","㈱しまむら","","","","DL-26-004275","","合格","2026/02/05","合格","","","0"
"4363AER","㈱しまむら","2","","","DL-26-004277","合格","合格","2026/02/06","","","","0"
"X4622RR","㈱しまむら","1","","","DL-26-004045","合格","合格","2026/02/04","合格(追試:合格)","","","0"
"R5633PZ","㈱しまむら","","","","DL-26-004059","","合格","2026/02/04","合格","","","0"
"G5630PZ","㈱しまむら","","","","DL-26-004061","","合格","2026/02/04","合格","","","0"
"F5633QZ","㈱しまむら","1","","","DL-26-004063","合格","合格","2026/02/04","合格〈コメント有〉","","","0"
"F5637QZ","㈱しまむら","1","","","DL-26-004065","合格","合格","2026/02/04","合格〈コメント有〉","","","0"
"G5630UR","㈱しまむら","","","","DL-26-004067","","合格","2026/02/04","合格","","","0"
"X5635RR/X4627RR","㈱しまむら","1","","","DL-26-003630-1R","合格","合格","2026/02/02","","","","0"
"A1621PR","㈱しまむら","1","","","DL-26-003901","合格","合格","2026/02/03","合格(追試:合格)","","","0"
"A5624RR","㈱しまむら","6","","","DL-26-003905","合格","合格","2026/02/03","合格(追試:合格)","","","0"
"A5625ER","㈱しまむら","3","","","DL-26-003909","合格","合格","2026/02/03","合格(追試:合格)","","","0"
"F4632CZ/21*21TC","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-003945","合格","合格","2026/02/03","合格(追試:合格)〈コメント有〉","","","0"
"RT634CZ/21*21TC","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-003949","合格","合格","2026/02/03","合格(追試:合格)〈コメント有〉","","","0"
"RT634QZ/260T","㈱しまむら","4","","KDW 大連万林進出口有限公司","DL-26-003954","合格","合格","2026/02/03","合格","","","0"
"G5636UR","㈱しまむら","","","","DL-26-003982","","合格","2026/02/03","合格","","","0"
"66636AR","㈱しまむら","1","","","DL-26-003989","合格","合格","2026/02/04","","","","0"
"666309R","㈱しまむら","2","","","DL-26-003992","合格","合格","2026/02/04","","","","0"
"43633HA","㈱しまむら","1","","","DL-26-004015","合格","合格","2026/02/04","合格(追試:合格)","","","0"
"43634HA","㈱しまむら","1","","","DL-26-004018","合格","合格","2026/02/04","合格(追試:合格)","","","0"
"43635HA","㈱しまむら","1","","","DL-26-004024","合格","合格","2026/02/04","合格(追試:合格)","","","0"
"C5633RR","㈱しまむら","3","","","DL-26-003318","合格","合格","2026/02/02","合格〈コメント有〉","","","0"
"A5624ER","㈱しまむら","2","","","DL-26-003600","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"X6621RR","㈱しまむら","","","","DL-26-003687","","合格","2026/02/02","合格(追試:合格)","","","0"
"456341R","㈱しまむら","","","","DL-26-003717","","合格","2026/02/02","合格(追試:合格)〈コメント有〉","","","0"
"66636AR","㈱しまむら","3","","","DL-26-003839","合格","合格","2026/02/03","","","","0"
"30630HA","㈱しまむら","1","","","DL-26-003843","合格","合格","2026/02/03","","","","0"
"43632HA","㈱しまむら","2","","","DL-26-003845","合格","合格","2026/02/03","","","","0"
"40637HA","㈱しまむら","1","","","DL-26-003849","合格","合格","2026/02/03","","","","0"
"44301HA4追","㈱しまむら","1","","","DL-26-003186","合格","合格","2026/01/28","合格","","","0"
"X4623RR","㈱しまむら","1","","","DL-26-003239","合格","合格","2026/01/28","合格(追試:合格)","","","0"
"MB3006V/YL22066/ツイル(迷彩)","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-003287-1","合格","合格","2026/01/28","合格","","","0"
"MB3006V/YL22066/ツイル(迷彩)","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-003287-2","合格","合格","2026/01/28","合格〈コメント有〉","","","0"
"A5626ER","㈱しまむら","2","","","DL-26-003436","合格","合格","2026/01/29","合格(追試:合格)","","","0"
"A5626RR","㈱しまむら","2","","","DL-26-003447","合格","合格","2026/01/29","合格(追試:合格)","","","0"
"A5627ER","㈱しまむら","2","","","DL-26-003450","合格","合格","2026/01/29","合格(追試:合格)","","","0"
"A5623PR","㈱しまむら","2","","","DL-26-003456","合格","合格","2026/01/29","合格(追試:合格)","","","0"
"A5620DR","㈱しまむら","2","","","DL-26-003461","合格","合格","2026/01/29","合格(追試:合格)","","","0"
"F4631BZ/1010","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-003469","合格","合格","2026/01/29","合格〈コメント有〉","","","0"
"X5632RR","㈱しまむら","1","","","DL-26-003539","合格","合格","2026/01/30","合格","","","0"
"X5631RR","㈱しまむら","2","","","DL-26-003543","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"X5630RR","㈱しまむら","1","","","DL-26-003548","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"A6621PR","㈱しまむら","4","","","DL-26-003551","合格","合格","2026/01/30","合格(追試:合格)〈コメント有〉","","","0"
"X5633RR","㈱しまむら","2","","","DL-26-003560","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"A5623RR","㈱しまむら","2","","","DL-26-003597","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"F4631MZ/1010","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-003607","合格","合格","2026/01/30","合格〈コメント有〉","","","0"
"ER630YR/ER631YR","㈱しまむら","3","","","DL-26-003616","合格","合格","2026/01/30","","","","0"
"C563EMA","㈱しまむら","2","","","DL-26-003620-1","合格","合格","2026/02/02","","","","0"
"66632YR","㈱しまむら","1","","","DL-26-003637","合格","合格","2026/02/02","","","","0"
"41620PR","㈱しまむら","1","","","DL-26-003657","合格","合格","2026/02/02","","","","0"
"X4624RR","㈱しまむら","1","","","DL-26-003189","合格","合格","2026/01/28","合格(追試:合格)","","","0"
"C5630RR","㈱しまむら","","","","DL-26-003300","","合格","2026/01/28","合格","","","0"
"C5631RR","㈱しまむら","2","","","DL-26-003304","合格","合格","2026/01/28","合格","","","0"
"A1622PR","㈱しまむら","1","","","DL-26-003377","合格","合格","2026/01/29","合格(追試:合格)","","","0"
"RT635QZ/21*21TC","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-003458-1","合格","合格","2026/01/29","合格","","","0"
"RT635QZ/DL1480","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-003458-2","合格","合格","2026/01/29","合格(追試:合格)〈コメント有〉","","","0"
"Y5630RR","㈱しまむら","2","","","DL-26-003481","合格","合格","2026/01/29","","","","0"
"Y5632RR","㈱しまむら","6","","","DL-26-003483-1","合格","合格","2026/01/29","","","","0"
"43635HA","㈱しまむら","1","","","DL-26-003514","合格","合格","2026/01/30","","","","0"
"43634HA","㈱しまむら","1","","","DL-26-003515","合格","合格","2026/01/30","","","","0"
"43633HA","㈱しまむら","1","","","DL-26-003518","合格","合格","2026/01/30","","","","0"
"76634KR/66632YR/76636VR/76633VR","㈱しまむら","3","","","DL-26-003522","合格","合格","2026/01/30","","","","0"
"4063CER","㈱しまむら","1","","","DL-26-003527","合格","合格","2026/01/30","","","","0"
"4063AHR/4063BHR/4063AER/4463AHR","㈱しまむら","1","","","DL-26-003528","合格","合格","2026/01/30","","","","0"
"43639HA","㈱しまむら","1","","","DL-26-003555","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"40630HA","㈱しまむら","1","","","DL-26-003558","合格","合格","2026/01/30","合格(追試:合格)〈コメント有〉","","","0"
"40634HA","㈱しまむら","1","","","DL-26-003562","合格","合格","2026/01/30","合格(追試:合格)〈コメント有〉","","","0"
"41633HA","㈱しまむら","1","","","DL-26-003564","合格","合格","2026/01/30","合格(追試:合格)","","","0"
"G4631WR/YL-2500B6-Bメッシュデニム","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-002063-1","合格","合格","2026/01/19","合格(追試:合格)〈コメント有〉","","","0"
"F4630WR","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-002090-1","合格","合格","2026/01/19","合格(追試:合格)〈コメント有〉","","","0"
"X4623MR","㈱しまむら","1","","","DL-26-003202","合格","合格","2026/01/28","合格(追試:合格)","","","0"
"X5630MR","㈱しまむら","4","","","DL-26-003221","合格","合格","2026/01/28","合格(追試:合格)","","","0"
"A1621RR","㈱しまむら","","","","DL-26-003243","","合格","2026/01/28","合格","","","0"
"A4624RR","㈱しまむら","2","","","DL-26-003245","合格","合格","2026/01/28","合格","","","0"
"F4630MZ/T100","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-003255-1","合格","合格","2026/01/28","合格(追試:合格)","","","0"
"MB1023V/YL22066/ツイル(迷彩)","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-002286-1","合格","合格","2026/01/20","合格(追試:合格)〈コメント有〉","","","0"
"MB1023V/YL22066/ツイル(迷彩)","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-002286-2","合格","合格","2026/01/20","合格〈コメント有〉","","","0"
"43631HA","㈱しまむら","1","","","DL-26-002804","合格","合格","2026/01/26","","","","0"
"A1620RR","㈱しまむら","","","","DL-26-002875","","合格","2026/01/26","合格(追試:合格)","","","0"
"44630HA","㈱しまむら","1","","","DL-26-002938","合格","合格","2026/01/26","","","","0"
"MB3010V","㈱しまむら","1","","KDW 大連万林進出口有限公司","DL-26-003071","合格","合格","2026/01/27","合格〈コメント有〉","","","0"
"40635HA","㈱しまむら","1","","","DL-26-003208","合格","合格","2026/01/28","合格(追試:合格)〈コメント有〉","","","0"
"X5630WR/X5632WR/X5633WR/X5630MR/X4622MR X5631WR","㈱しまむら","5","","","DL-26-003477","合格","合格","2026/01/28","","","","0"
"R5621UR","㈱しまむら","","","","DL-26-000563","","合格","2026/01/22","合格","","","0"
"410030E/BLWD2282-2","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-002599","合格","合格","2026/01/22","合格(追試:合格)","","","0"
"C4631MA","㈱しまむら","2","","","DL-26-002781","合格","合格","2026/01/26","合格(追試:合格)〈コメント有〉","","","0"
"C5635MA","㈱しまむら","1","","","DL-26-002784","合格","合格","2026/01/26","合格〈コメント有〉","","","0"
"C5620HR","㈱しまむら","6","","","DL-26-002805-1","合格","合格","2026/01/26","","","","0"
"41620AR","㈱しまむら","","","","DL-26-002907","","合格","2026/01/26","合格(追試:合格)","","","0"
"456321R","㈱しまむら","","","","DL-26-002911","","合格","2026/01/26","合格(追試:合格)","","","0"
"4362C8R","㈱しまむら","2","","","DL-26-002919","合格","合格","2026/01/26","合格(追試:合格)〈コメント有〉","","","0"
"66631HR","㈱しまむら","1","","","DL-26-002943","合格","合格","2026/01/26","","","","0"
"66636AR","㈱しまむら","1","","","DL-26-002944","合格","合格","2026/01/26","","","","0"
"66632YR/666309R/66636AR/66635AR/66633ER/66631HR/76633VR","㈱しまむら","2","","","DL-26-002946","合格","合格","2026/01/26","","","","0"
"66634JR","㈱しまむら","2","","","DL-26-002950","合格","合格","2026/01/26","","","","0"
"40637HA","㈱しまむら","1","","","DL-26-002965","合格","合格","2026/01/26","","","","0"
"40636HA","㈱しまむら","1","","","DL-26-002966","合格","合格","2026/01/26","","","","0"
"C5631MA","㈱しまむら","1","","","DL-26-001475","合格","合格","2026/01/23","合格〈コメント有〉","","","0"
"A1621ER","㈱しまむら","1","","","DL-26-002243","合格","合格","2026/01/20","合格(追試:合格)","","","0"
"X4622RR/X4624RR/X5630RR/X5632RR/X5633RR/X6621RR/X6622RR","㈱しまむら","3","","","DL-26-002591","合格","合格","2026/01/22","","","","0"
"43636HA","㈱しまむら","1","","","DL-26-002686","合格","合格","2026/01/23","合格(追試:合格)","","","0"
"43637HA","㈱しまむら","1","","","DL-26-002688","合格","合格","2026/01/23","合格(追試:合格)","","","0"
"43630GA","㈱しまむら","1","","","DL-26-002691","合格","合格","2026/01/23","合格(追試:合格)","","","0"
"C5632MA","㈱しまむら","1","","","DL-26-002716","合格","合格","2026/01/23","合格〈コメント有〉","","","0"
"C5633MA","㈱しまむら","1","","","DL-26-002718","合格","合格","2026/01/23","合格〈コメント有〉","","","0"
"40630HA","㈱しまむら","2","","","DL-26-002799","合格","合格","2026/01/26","","","","0"
"41633HA","㈱しまむら","1","","","DL-26-002800","合格","合格","2026/01/26","","","","0"
"4063AHR/4063BHR/4063AER/4463AHR","㈱しまむら","2","","","DL-26-002813","合格","合格","2026/01/26","","","","0"
"40631GA","㈱しまむら","1","","","DL-26-002826","合格","合格","2026/01/26","","","","0"
"40639HA","㈱しまむら","1","","","DL-26-002828","合格","合格","2026/01/26","","","","0"
"76634KR","㈱しまむら","1","","","DL-26-002837","合格","合格","2026/01/26","","","","0"
"41638HA","㈱しまむら","","","","DL-26-002877","","合格","2026/01/26","合格(追試:合格)","","","0"
"A1620RR/A1621ER/A1621PR/A1622PR/A1622ZR","㈱しまむら","9","","","DL-26-001312","合格","合格","2026/01/13","","","","0"
"C4630MA","㈱しまむら","4","","","DL-26-002389","合格","合格","2026/01/21","合格(追試:合格)〈コメント有〉","","","0"
"PO6055X/WL00181","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-002414","合格","合格","2026/01/21","合格(追試:合格)","","","0"
"CM6507X/1319","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-002417","合格","合格","2026/01/21","合格(追試:合格)〈コメント有〉","","","0"
"RT633QZ","㈱しまむら","4","","","DL-26-002467-1","合格","合格","2026/01/22","","","","0"
"F5633QZ/F5637QZ","㈱しまむら","8","","","DL-26-002476-1","合格","合格","2026/01/22","","","","0"
"X4630HR/X4631HR/X4632HR/X5630HR/X5631HR/X5632HR/X4632ER","㈱しまむら","3","","","DL-26-002587","合格","合格","2026/01/22","","","","0"
"410029E/BLWD2282-2","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-002594","合格","合格","2026/01/22","合格(追試:合格)","","","0"
"RT638PZ","㈱しまむら","","","","DL-26-000895","","合格","2026/01/22","合格〈コメント有〉","","","0"
"40630GA","㈱しまむら","1","","","DL-26-002573","合格","合格","2026/01/22","合格(追試:合格)","","","0"
"43631GA","㈱しまむら","1","","","DL-26-002579","合格","合格","2026/01/22","合格(追試:合格)","","","0"
"X4620WR","㈱しまむら","3","","","DL-26-002058","合格","合格","2026/01/19","合格(追試:合格)〈コメント有〉","","","0"
"X5631MR","㈱しまむら","3","","","DL-26-002225","合格","合格","2026/01/20","合格(追試:合格)","","","0"
"X4622MR","㈱しまむら","1","","","DL-26-002229","合格","合格","2026/01/20","合格(追試:合格)","","","0"
"410046X/HT0938-3","㈱しまむら","6","","KDW 大連万林進出口有限公司","DL-26-002274","合格","合格","2026/01/20","合格(追試:合格)","","","0"
"CM6508X/1319","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-002279","合格","合格","2026/01/20","合格(追試:合格)","","","0"
"X4632ER KING","㈱しまむら","1","","","DL-26-002319","合格","合格","2026/01/21","","","","0"
"X5631MR/A5620DR/A5620WR/A5623PR/A5623RR/A5624ER/A5624RR/A5625ER/A5625RR/A5626ER/A5626RR/A5627ER/A5621MR/A5622RR/A5623ER/X5631RR/A4621MR/A4623PR/A4620ER/A4626RR/A4625RR","㈱しまむら","13","","","DL-26-002323","合格","合格","2026/01/21","","","","0"
"A4320WR/A4353W/A4550PR/A4622PR/A4623RR/A4624DR/A6322WR/A6350W/A6621DR/A6621PR/A6551RR/A6620RR/Y4621DR/Y6622DR","㈱しまむら","13","","","DL-26-002346","合格","合格","2026/01/21","","","","0"
"430014E/430015E/430016E/430017E/430018E/430019E/430808F/430809F/430810F/430811F/HS224019BT","㈱しまむら","3","","KDW 大連万林進出口有限公司","DL-26-001121","合格","合格","2026/01/12","","","","0"
"G5630UR/G5636UR","㈱しまむら","4","","","DL-26-001917-1","合格","合格","2026/01/19","","","","0"
"4062AGR","㈱しまむら","2","","","DL-26-001970","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"4063A8R","㈱しまむら","2","","","DL-26-001972","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"C5634MA","㈱しまむら","1","","","DL-26-001987","合格","合格","2026/01/19","合格〈コメント有〉","","","0"
"C5624MA","㈱しまむら","1","","","DL-26-001989","合格","合格","2026/01/19","合格〈コメント有〉","","","0"
"C5630MA","㈱しまむら","1","","","DL-26-001992","合格","合格","2026/01/19","合格〈コメント有〉","","","0"
"Y6622XR","㈱しまむら","2","","","DL-26-002002","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"Y6623XR","㈱しまむら","6","","","DL-26-002020","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"430810F/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-002081","","合格","2026/01/19","合格(追試:合格)","","","0"
"430811F/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-002084-1","","合格","2026/01/19","合格(追試:合格)〈コメント有〉","","","0"
"430811F/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-002084-2","","合格","2026/01/19","合格(追試:合格)","","","0"
"456321R","㈱しまむら","1","","","DL-26-002120","合格","合格","2026/01/20","","","","0"
"430014E/430015E/430016E/430017E/430018E/430019E/430808F/430809F/430810F/430811F/430021L/430020L/430022L/HS224019BT","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-001092","合格","合格","2026/01/12","","","","0"
"X6620WR","㈱しまむら","2","","","DL-26-001820","合格","合格","2026/01/16","合格(追試:合格)","","","0"
"A5623ER","㈱しまむら","2","","","DL-26-001831","合格","合格","2026/01/16","合格(追試:合格)","","","0"
"A5622RR","㈱しまむら","2","","","DL-26-001837","合格","合格","2026/01/16","合格(追試:合格)","","","0"
"A5621MR","㈱しまむら","","","","DL-26-001840","","合格","2026/01/16","合格(追試:合格)","","","0"
"RT63GPZ","㈱しまむら","1","","","DL-26-001842-1","合格","合格","2026/01/16","合格〈コメント有〉","","","0"
"RT63GPZ","㈱しまむら","1","","","DL-26-001842-2","合格","合格","2026/01/16","合格(追試:合格)〈コメント有〉","","","0"
"A5622PR","㈱しまむら","1","","","DL-26-001847","合格","合格","2026/01/16","合格(追試:合格)","","","0"
"43636HA","㈱しまむら","1","","","DL-26-001905","合格","合格","2026/01/19","","","","0"
"4363AHR","㈱しまむら","2","","","DL-26-001906","合格","合格","2026/01/19","","","","0"
"40634HA/40635HA/40630HA/40631HA","㈱しまむら","1","","","DL-26-001911","合格","合格","2026/01/19","","","","0"
"4063AHR/4063BHR/4063AER/4463AHR","㈱しまむら","2","","","DL-26-001921","合格","合格","2026/01/19","","","","0"
"4362C8R","㈱しまむら","2","","","DL-26-001923","合格","合格","2026/01/19","","","","0"
"406258R","㈱しまむら","1","","","DL-26-001978","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"406268R","㈱しまむら","1","","","DL-26-001980","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"406278R","㈱しまむら","1","","","DL-26-001983","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"416278R","㈱しまむら","1","","","DL-26-002005","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"416248R","㈱しまむら","1","","","DL-26-002022","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"416258R","㈱しまむら","1","","","DL-26-002024","合格","合格","2026/01/19","合格(追試:合格)〈コメント有〉","","","0"
"416268R","㈱しまむら","1","","","DL-26-002026","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"416288R","㈱しまむら","1","","","DL-26-002028","合格","合格","2026/01/19","合格(追試:合格)","","","0"
"430808F/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-002071","","合格","2026/01/19","合格(追試:合格)〈コメント有〉","","","0"
"430809F/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-002075","","合格","2026/01/19","合格(追試:合格)〈コメント有〉","","","0"
"RT633PR/21*21TC","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-001156-1","合格","合格","2026/01/15","合格(追試:合格)","","","0"
"RT633PR/DL1480","㈱しまむら","2","","KDW 大連万林進出口有限公司","DL-26-001156-2","合格","合格","2026/01/15","合格(追試:合格)〈コメント有〉","","","0"
"456311R","㈱しまむら","","","","DL-26-001616","","合格","2026/01/15","合格(追試:合格)","","","0"
"40621GR","㈱しまむら","1","","","DL-26-001620","合格","合格","2026/01/15","合格(追試:合格)〈コメント有〉","","","0"
"X4621WR","㈱しまむら","2","","","DL-26-001659","合格","合格","2026/01/15","合格(追試:合格)","","","0"
"X5632WR","㈱しまむら","1","","","DL-26-001665","合格","合格","2026/01/15","合格(追試:合格)","","","0"
"X6621WR","㈱しまむら","2","","","DL-26-001685","合格","合格","2026/01/15","合格(追試:合格)","","","0"
"X5633WR","㈱しまむら","2","","","DL-26-001689","合格","合格","2026/01/15","合格(追試:合格)","","","0"
"X5630WR","㈱しまむら","3","","","DL-26-001703","合格","合格","2026/01/15","合格(追試:合格)","","","0"
"C6629MA","㈱しまむら","7","","","DL-26-001729","合格","合格","2026/01/15","合格(追試:合格)〈コメント有〉","","","0"
"41630EA","㈱しまむら","1","","","DL-26-001782","合格","合格","2026/01/16","","","","0"
"430014E/430015E/430016E/430017E/430018E/430019E/430808F/430809F/430810F/430811F/430021L/430020L/430022L/310179/HY0038/310180/310181/310208T","㈱しまむら","5","","KDW 大連万林進出口有限公司","DL-26-001104-1","合格","合格","2026/01/12","","","","0"
"A4623RR","㈱しまむら","2","","","DL-26-001451","合格","合格","2026/01/14","合格(追試:合格)〈コメント有〉","","","0"
"A4622PR","㈱しまむら","4","","","DL-26-001459","合格","合格","2026/01/14","合格(追試:合格)〈コメント有〉","","","0"
"A4550PR","㈱しまむら","3","","","DL-26-001467","合格","合格","2026/01/14","合格(追試:合格)〈コメント有〉","","","0"
"A6620RR","㈱しまむら","4","","","DL-26-001474","合格","合格","2026/01/14","合格(追試:合格)〈コメント有〉","","","0"
"430014E/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-001567-1","","合格","2026/01/14","合格(追試:合格)","","","0"
"430014E/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-001567-2","","合格","2026/01/14","合格(追試:合格)〈コメント有〉","","","0"
"430015E/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-001569-1","","合格","2026/01/14","合格(追試:合格)","","","0"
"430015E/HS224019BT","㈱しまむら","","","KDW 大連万林進出口有限公司","DL-26-001569-2","","合格","2026/01/14","合格(追試:合格)〈コメント有〉","","","0"
